model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     rate_algo = TST
model   INFO     active_ratio = 0.444444444444
model   INFO     temperature = 500
model   INFO     plotter = EnergyProfilePlotter
model   INFO     rootfinding = MDNewton
model   INFO     species_definitions =
model   INFO             *_s: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 1.0000000000000001e-05}
model   INFO             O2_g: {'pressure': 5.0}
model   INFO             CO2_g: {'pressure': 0.0}
model   INFO     max_rootfinding_iterations = 100
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s <-> C-O_s -> CO_s
model   INFO             O2_g + 2*_s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     corrector = ThermodynamicCorrector
model   INFO     tolerance = 1e-15
model   INFO     unitcell_area = 9e-20
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 10.00  step = 0.000100

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO          28.60%            2.860000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          28.80%            2.880000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          29.00%            2.900000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          29.20%            2.920000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          29.40%            2.940000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          29.60%            2.960000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          29.80%            2.980000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          30.00%            3.000000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          30.20%            3.020000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          30.40%            3.040000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          30.60%            3.060000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          30.80%            3.080000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          31.00%            3.100000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          31.20%            3.120000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          31.40%            3.140000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          31.60%            3.160000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          31.80%            3.180000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          32.00%            3.200000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          32.20%            3.220000      9.96531055e-01      2.94061448e-06
model.solvers.SteadyStateSolver   INFO          32.40%            3.240000      9.96531055e-01      2.94061448e-06
