model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     rate_algo = CT
model   INFO     active_ratio = 0.444444444444
model   INFO     temperature = 500
model   INFO     plotter = EnergyProfilePlotter
model   INFO     rootfinding = MDNewton
model   INFO     species_definitions =
model   INFO             *_t: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 0.1}
model   INFO             O2_g: {'pressure': 9.9999999999999995e-08}
model   INFO             CO2_g: {'pressure': 1.32e-07}
model   INFO     max_rootfinding_iterations = 100
model   INFO     rxn_expressions =
model   INFO             CO_g + *_t -> CO_t
model   INFO             O2_g + 2*_t -> 2O_t
model   INFO             CO_t + O_t <-> CO-O_2t -> CO2_g + 2*_t
model   INFO     corrector = ThermodynamicCorrector
model   INFO     tolerance = 1e-50
model   INFO     unitcell_area = 9e-20
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 10.00  step = 0.000100

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_t                 O_t
model.solvers.SteadyStateSolver   INFO          28.20%            2.820000      1.00000000e+00      6.44387541e-33
model.solvers.SteadyStateSolver   INFO          28.40%            2.840000      1.00000000e+00      6.41866137e-33
model.solvers.SteadyStateSolver   INFO          28.60%            2.860000      1.00000000e+00      6.39344733e-33
model.solvers.SteadyStateSolver   INFO          28.80%            2.880000      1.00000000e+00      6.36823330e-33
model.solvers.SteadyStateSolver   INFO          29.00%            2.900000      1.00000000e+00      6.34301926e-33
model.solvers.SteadyStateSolver   INFO          29.20%            2.920000      1.00000000e+00      6.31780522e-33
model.solvers.SteadyStateSolver   INFO          29.40%            2.940000      1.00000000e+00      6.29259119e-33
model.solvers.SteadyStateSolver   INFO          29.60%            2.960000      1.00000000e+00      6.26737715e-33
model.solvers.SteadyStateSolver   INFO          29.80%            2.980000      1.00000000e+00      6.24216311e-33
model.solvers.SteadyStateSolver   INFO          30.00%            3.000000      1.00000000e+00      6.21694908e-33
model.solvers.SteadyStateSolver   INFO          30.20%            3.020000      1.00000000e+00      6.19173504e-33
model.solvers.SteadyStateSolver   INFO          30.40%            3.040000      1.00000000e+00      6.16652100e-33
model.solvers.SteadyStateSolver   INFO          30.60%            3.060000      1.00000000e+00      6.14130697e-33
model.solvers.SteadyStateSolver   INFO          30.80%            3.080000      1.00000000e+00      6.11609293e-33
model.solvers.SteadyStateSolver   INFO          31.00%            3.100000      1.00000000e+00      6.09087889e-33
model.solvers.SteadyStateSolver   INFO          31.20%            3.120000      1.00000000e+00      6.06566486e-33
model.solvers.SteadyStateSolver   INFO          31.40%            3.140000      1.00000000e+00      6.04045082e-33
model.solvers.SteadyStateSolver   INFO          31.60%            3.160000      1.00000000e+00      6.01523678e-33
model.solvers.SteadyStateSolver   INFO          31.80%            3.180000      1.00000000e+00      5.99002275e-33
model.solvers.SteadyStateSolver   INFO          32.00%            3.200000      1.00000000e+00      5.96480871e-33
model.solvers.SteadyStateSolver   INFO          32.20%            3.220000      1.00000000e+00      5.93959467e-33
