model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     tolerance = 1e-50
model   INFO     rootfinding = MDNewton
model   INFO     max_rootfinding_iterations = 100
model   INFO     rate_algo = TST
model   INFO     species_definitions =
model   INFO             CO2_g: {'pressure': 0.0}
model   INFO             *_s: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 1e-05}
model   INFO             O2_g: {'pressure': 5}
model   INFO     corrector = ThermodynamicCorrector
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s <-> C-O_s -> CO_s
model   INFO             O2_g + 2*_s <-> O-O_2s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     unitcell_area = 9e-20
model   INFO     active_ratio = 0.4444444444444444
model   INFO     temperature = 500
model   INFO     plotter = EnergyProfilePlotter
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 0.00  step = 0.000000

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO           6.20%            0.000031      9.04006484e-01      2.38122075e-02
model.solvers.SteadyStateSolver   INFO           6.24%            0.000031      9.05116821e-01      2.35838965e-02
model.solvers.SteadyStateSolver   INFO           6.28%            0.000031      9.06211857e-01      2.33572763e-02
model.solvers.SteadyStateSolver   INFO           6.32%            0.000032      9.07291850e-01      2.31323485e-02
model.solvers.SteadyStateSolver   INFO           6.36%            0.000032      9.08357054e-01      2.29091143e-02
model.solvers.SteadyStateSolver   INFO           6.40%            0.000032      9.09407718e-01      2.26875740e-02
model.solvers.SteadyStateSolver   INFO           6.44%            0.000032      9.10444085e-01      2.24677277e-02
model.solvers.SteadyStateSolver   INFO           6.48%            0.000032      9.11466393e-01      2.22495748e-02
model.solvers.SteadyStateSolver   INFO           6.52%            0.000033      9.12474875e-01      2.20331149e-02
model.solvers.SteadyStateSolver   INFO           6.56%            0.000033      9.13469763e-01      2.18183470e-02
model.solvers.SteadyStateSolver   INFO           6.60%            0.000033      9.14451279e-01      2.16052696e-02
model.solvers.SteadyStateSolver   INFO           6.64%            0.000033      9.15419643e-01      2.13938804e-02
model.solvers.SteadyStateSolver   INFO           6.68%            0.000033      9.16375071e-01      2.11841769e-02
model.solvers.SteadyStateSolver   INFO           6.72%            0.000034      9.17317773e-01      2.09761564e-02
model.solvers.SteadyStateSolver   INFO           6.76%            0.000034      9.18247957e-01      2.07698153e-02
model.solvers.SteadyStateSolver   INFO           6.80%            0.000034      9.19165825e-01      2.05651502e-02
model.solvers.SteadyStateSolver   INFO           6.84%            0.000034      9.20071574e-01      2.03621569e-02
model.solvers.SteadyStateSolver   INFO           6.88%            0.000034      9.20965400e-01      2.01608309e-02
model.solvers.SteadyStateSolver   INFO           6.92%            0.000035      9.21847493e-01      1.99611677e-02
model.solvers.SteadyStateSolver   INFO           6.96%            0.000035      9.22718041e-01      1.97631626e-02
model.solvers.SteadyStateSolver   INFO           7.00%            0.000035      9.23577226e-01      1.95668106e-02
model.solvers.SteadyStateSolver   INFO           7.04%            0.000035      9.24425229e-01      1.93721062e-02
model.solvers.SteadyStateSolver   INFO           7.08%            0.000035      9.25262226e-01      1.91790436e-02
