model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     unitcell_area = 9e-20
model   INFO     tolerance = 1e-50
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s <-> C-O_s -> CO_s
model   INFO             O2_g + 2*_s <-> O-O_2s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     temperature = 500
model   INFO     corrector = ThermodynamicCorrector
model   INFO     plotter = EnergyProfilePlotter
model   INFO     max_rootfinding_iterations = 100
model   INFO     rate_algo = TST
model   INFO     species_definitions =
model   INFO             CO_g: {'pressure': 1e-05}
model   INFO             CO2_g: {'pressure': 0.0}
model   INFO             O2_g: {'pressure': 5}
model   INFO             *_s: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO     rootfinding = MDNewton
model   INFO     active_ratio = 0.4444444444444444
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 0.00  step = 0.000000

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO          18.20%            0.000091      9.93224200e-01      9.37647743e-04
model.solvers.SteadyStateSolver   INFO          18.40%            0.000092      9.93401834e-01      8.86863119e-04
model.solvers.SteadyStateSolver   INFO          18.60%            0.000093      9.93570002e-01      8.38826026e-04
model.solvers.SteadyStateSolver   INFO          18.80%            0.000094      9.93729203e-01      7.93389248e-04
model.solvers.SteadyStateSolver   INFO          19.00%            0.000095      9.93879909e-01      7.50413155e-04
model.solvers.SteadyStateSolver   INFO          19.20%            0.000096      9.94022570e-01      7.09765235e-04
model.solvers.SteadyStateSolver   INFO          19.40%            0.000097      9.94157611e-01      6.71320329e-04
model.solvers.SteadyStateSolver   INFO          19.60%            0.000098      9.94285435e-01      6.34959907e-04
model.solvers.SteadyStateSolver   INFO          19.80%            0.000099      9.94406423e-01      6.00571576e-04
model.solvers.SteadyStateSolver   INFO          20.00%            0.000100      9.94520938e-01      5.68048892e-04
model.solvers.SteadyStateSolver   INFO          20.20%            0.000101      9.94629323e-01      5.37291141e-04
model.solvers.SteadyStateSolver   INFO          20.40%            0.000102      9.94731903e-01      5.08203060e-04
model.solvers.SteadyStateSolver   INFO          20.60%            0.000103      9.94828986e-01      4.80694649e-04
model.solvers.SteadyStateSolver   INFO          20.80%            0.000104      9.94920861e-01      4.54680829e-04
model.solvers.SteadyStateSolver   INFO          21.00%            0.000105      9.95007807e-01      4.30080598e-04
model.solvers.SteadyStateSolver   INFO          21.20%            0.000106      9.95090085e-01      4.06817307e-04
model.solvers.SteadyStateSolver   INFO          21.40%            0.000107      9.95167947e-01      3.84818382e-04
model.solvers.SteadyStateSolver   INFO          21.60%            0.000108      9.95241625e-01      3.64015441e-04
model.solvers.SteadyStateSolver   INFO          21.80%            0.000109      9.95311343e-01      3.44343780e-04
model.solvers.SteadyStateSolver   INFO          22.00%            0.000110      9.95377312e-01      3.25742201e-04
model.solvers.SteadyStateSolver   INFO          22.20%            0.000111      9.95439731e-01      3.08152605e-04
model.solvers.SteadyStateSolver   INFO          22.40%            0.000112      9.95498790e-01      2.91520091e-04
model.solvers.SteadyStateSolver   INFO          22.60%            0.000113      9.95554669e-01      2.75792715e-04
model.solvers.SteadyStateSolver   INFO          22.80%            0.000114      9.95607537e-01      2.60921359e-04
model.solvers.SteadyStateSolver   INFO          23.00%            0.000115      9.95657556e-01      2.46859536e-04
model.solvers.SteadyStateSolver   INFO          23.20%            0.000116      9.95704879e-01      2.33563274e-04
model.solvers.SteadyStateSolver   INFO          23.40%            0.000117      9.95749649e-01      2.20990990e-04
model.solvers.SteadyStateSolver   INFO          23.60%            0.000118      9.95792003e-01      2.09103373e-04
model.solvers.SteadyStateSolver   INFO          23.80%            0.000119      9.95832071e-01      1.97863227e-04
